0	1	2	3	4	5	6	7	8	
1	bk	bh	bg	bm	bf	bi	ba	bl	
2	jc	jh	jg	jm	jf	ji	ja	jl	
3	ic	ih	ig	im	if	ii	ia	il	
4	dc	dh	dg	dm	df	di	da	dl	
5	pc	ph	pg	pm	pf	pi	pa	pl	
6	fc	fh	fg	fm	ff	fi	fa	fl	
7	mc	mh	mg	mm	mf	mi	ma	ml	
8	ac	ah	ag	am	af	ai	aa	al	
0	1	2	3	4	5	6	7	8	
1	kpe	kfj	kme	koe	kjk	kkf	kgf	kni	
2	mpp	mfh	mmo	moa	mje	mkc	mgb	mnn	
3	bpg	bfn	bmg	boa	bjg	bka	bgf	bnn	
4	app	afb	amo	aoo	aje	akc	agf	ann	
5	ipm	ifi	imn	ioi	ijm	ikl	igm	ini	
6	cpa	cfh	cml	coc	cje	ckc	cgf	cni	
7	hpa	hfh	hma	hoo	hjk	hkl	hgb	hnh	
8	lpl	lfh	lmd	loc	ljk	lkl	lgh	lnh	
